PETITION_NBR,FILING_DATE,OFFICIAL_TITLE,TYPE,STATUS,ASSOCIATION_ROLE,ASSOCIATION_NAME,RESIDENCY_COUNTRY,GOAL,SIGN_NBR_ELECTRONIC,SIGN_NBR_PAPER,MOTIVATION
273,18/07/2006,"Pétition contre toute action visant à interdire aux pêcheurs l'accès aux différents lacs de la Haute-Sûre",ORD,CLOTUREE,Secrétaire,"Sportfëscher vum Stauséi",LU,,,,
277,12/02/2007,"Pétition soutenant la proposition de loi 5617 portant modification de la loi du 23 juin 1972 sur les emblèmes nationaux, telle qu'elle a été modifiée ",ORD,CLOTUREE,Président,"Initiativ Roude Léiw",LU,,,,
289,27/05/2008,"Pétition concernant l'inscription de la langue luxembourgeoise en tant que langue officielle dans la Constitution et revendication d'une reconnaissance officielle de la langue luxembourgeoise par l'Union européenne",ORD,CLOTUREE,,,LU,,,,
290,12/11/2008,"Pétition contre les nuisances excessives aux environs de la station émettrice de RTL à Marnach",ORD,CLOTUREE,Présidente,"""Fir méi Liäwensqualitéit"" a.s.b.l.",LU,,,,
296,22/02/2010,"Pétition pour l'ouverture du mariage aux couples homosexuels",ORD,CLOTUREE,Président,"Rosa Lëtzebuerg",LU,,,,
301,22/10/2010,"Pétition concernant la sécurité et la capacité de la route nationale N7, plus précisément du tronçon Wemperhardt - Colmar-Berg",ORD,CLOTUREE,Secrétaire,"LCGB Circonscription Nord",LU,,,,
302,25/10/2010,"Pétition contre la nouvelle législation sur les allocations familiales, la bonification enfant et les aides financières pour étudiants",ORD,CLOTUREE,Président,OGBL,LU,,,,
304,03/12/2010,"Pétition revendiquant l\u2019accessibilité des chemins de fer et bus pour tous",ORD,CLOTUREE,Secrétaire,"OGBL, Département des travailleurs handicapés",LU,,,,
307,01/06/2011,"Pétition pour la séparation de l'Eglise et de l'Etat",ORD,CLOTUREE,,,LU,,,,
309,01/07/2011,"Pétition contre la fermeture de la maternité de l'hôpital de Wiltz ",ORD,CLOTUREE,Secrétaire,"Initiative ""Nee zur Fermeture vun der Maternité Wolz""",LU,,,,
310,21/09/2011,"Pétition pour l'assimilation des infirmiers spécialisés qualifiés aux diplômés BTS ",ORD,CLOTUREE,"Secrétaire général",LCGB,LU,,,,
