LEGISLATURE_NUMBER,SESSION_NUMBER,MEETING_DATE,MEETING_NUMBER,MEETING_PRESENCE,PERSON_TITLE,NAME,FIRSTNAME,POLITICAL_GROUP,POLITICAL_PARTY
18,134,"30/01/2024 14:30:00","Séance publique n° 10",PRESENT,Madame,Adehm,Diane,CSV,CSV
18,134,"30/01/2024 14:30:00","Séance publique n° 10",PRESENT,Madame,Agostino,Barbara,DP,DP
18,134,"30/01/2024 14:30:00","Séance publique n° 10",PRESENT,Monsieur,Arendt,Guy,DP,DP
18,134,"30/01/2024 14:30:00","Séance publique n° 10",PRESENT,Madame,"Arendt épouse Kemp",Nancy,CSV,CSV
18,134,"30/01/2024 14:30:00","Séance publique n° 10",PRESENT,Monsieur,Bauer,Maurice,CSV,CSV
18,134,"30/01/2024 14:30:00","Séance publique n° 10",PRESENT,Monsieur,Bauler,André,DP,DP
18,134,"30/01/2024 14:30:00","Séance publique n° 10",PRESENT,Monsieur,Baum,Gilles,,DP
18,134,"30/01/2024 14:30:00","Séance publique n° 10",PRESENT,Monsieur,Baum,Marc,,"déi Lénk"
18,134,"30/01/2024 14:30:00","Séance publique n° 10",PRESENT,Monsieur,Bausch,François,,"déi gréng"
18,134,"30/01/2024 14:30:00","Séance publique n° 10",PRESENT,Madame,Beissel,Simone,DP,DP
18,134,"30/01/2024 14:30:00","Séance publique n° 10",PRESENT,Monsieur,Biancalana,Dan,LSAP,LSAP
18,134,"30/01/2024 14:30:00","Séance publique n° 10",EXCUSED,Madame,Bofferding,Taina,LSAP,LSAP
18,134,"30/01/2024 14:30:00","Séance publique n° 10",PRESENT,Monsieur,Boonen,Jeff,CSV,CSV
18,134,"30/01/2024 14:30:00","Séance publique n° 10",PRESENT,Madame,Braz,Liz,LSAP,LSAP
18,134,"30/01/2024 14:30:00","Séance publique n° 10",PRESENT,Madame,Cahen,Corinne,DP,DP
18,134,"30/01/2024 14:30:00","Séance publique n° 10",PRESENT,Monsieur,Clement,Sven,,Piraten
18,134,"30/01/2024 14:30:00","Séance publique n° 10",EXCUSED,Madame,Closener,Francine,LSAP,LSAP
18,134,"30/01/2024 14:30:00","Séance publique n° 10",PRESENT,Monsieur,Cruchten,Yves,LSAP,LSAP
18,134,"30/01/2024 14:30:00","Séance publique n° 10",PRESENT,Madame,Delcourt,Claire,LSAP,LSAP
18,134,"30/01/2024 14:30:00","Séance publique n° 10",PRESENT,Monsieur,"Di Bartolomeo",Mars,LSAP,LSAP
18,134,"30/01/2024 14:30:00","Séance publique n° 10",PRESENT,Monsieur,Donnersbach,Alex,CSV,CSV
18,134,"30/01/2024 14:30:00","Séance publique n° 10",PRESENT,Monsieur,Eicher,Emile,CSV,CSV
18,134,"30/01/2024 14:30:00","Séance publique n° 10",PRESENT,Monsieur,Eischen,Félix,CSV,CSV
18,134,"30/01/2024 14:30:00","Séance publique n° 10",PRESENT,Monsieur,Emering,Luc,DP,DP
18,134,"30/01/2024 14:30:00","Séance publique n° 10",PRESENT,Monsieur,Engel,Georges,LSAP,LSAP
18,134,"30/01/2024 14:30:00","Séance publique n° 10",PRESENT,Monsieur,Engelen,Jeff,ADR,ADR
18,134,"30/01/2024 14:30:00","Séance publique n° 10",PRESENT,Monsieur,Etgen,Fernand,DP,DP
18,134,"30/01/2024 14:30:00","Séance publique n° 10",PRESENT,Monsieur,Fayot,Franz,LSAP,LSAP
18,134,"30/01/2024 14:30:00","Séance publique n° 10",PRESENT,Monsieur,Galles,Paul,CSV,CSV
18,134,"30/01/2024 14:30:00","Séance publique n° 10",PRESENT,Monsieur,Goergen,Marc,,Piraten
18,134,"30/01/2024 14:30:00","Séance publique n° 10",PRESENT,Monsieur,Goldschmidt,Patrick,DP,DP
18,134,"30/01/2024 14:30:00","Séance publique n° 10",PRESENT,Monsieur,Graas,Gusty,DP,DP
18,134,"30/01/2024 14:30:00","Séance publique n° 10",PRESENT,Monsieur,Haagen,Claude,LSAP,LSAP
18,134,"30/01/2024 14:30:00","Séance publique n° 10",PRESENT,Monsieur,Hansen,Christophe,,CSV
18,134,"30/01/2024 14:30:00","Séance publique n° 10",PRESENT,Madame,Hartmann,Carole,DP,DP
18,134,"30/01/2024 14:30:00","Séance publique n° 10",PRESENT,Monsieur,Hengel,Max,,
18,134,"30/01/2024 14:30:00","Séance publique n° 10",PRESENT,Monsieur,Kartheiser,Fernand,,ADR
18,134,"30/01/2024 14:30:00","Séance publique n° 10",PRESENT,Madame,Kemp,Françoise,CSV,CSV
18,134,"30/01/2024 14:30:00","Séance publique n° 10",PRESENT,Monsieur,Keup,Fred,ADR,ADR
18,134,"30/01/2024 14:30:00","Séance publique n° 10",PRESENT,Madame,Lenert,Paulette,LSAP,LSAP
18,134,"30/01/2024 14:30:00","Séance publique n° 10",EXCUSED,Monsieur,Lies,Marc,CSV,CSV
18,134,"30/01/2024 14:30:00","Séance publique n° 10",PRESENT,Madame,Minella,Mandy,DP,DP
18,134,"30/01/2024 14:30:00","Séance publique n° 10",EXCUSED,Madame,Modert,Octavie,CSV,CSV
18,134,"30/01/2024 14:30:00","Séance publique n° 10",PRESENT,Madame,Morgenthaler,Nathalie,CSV,CSV
18,134,"30/01/2024 14:30:00","Séance publique n° 10",PRESENT,Monsieur,Mosar,Laurent,CSV,CSV
18,134,"30/01/2024 14:30:00","Séance publique n° 10",PRESENT,Madame,Polfer,Lydie,DP,DP
18,134,"30/01/2024 14:30:00","Séance publique n° 10",PRESENT,Monsieur,Polidori,Ben,LSAP,LSAP
18,134,"30/01/2024 14:30:00","Séance publique n° 10",PRESENT,Monsieur,Schockmel,Gérard,DP,DP
18,134,"30/01/2024 14:30:00","Séance publique n° 10",PRESENT,Madame,Schoos,Alexandra,ADR,ADR
18,134,"30/01/2024 14:30:00","Séance publique n° 10",PRESENT,Monsieur,Sehovic,Meris,,"déi gréng"
18,134,"30/01/2024 14:30:00","Séance publique n° 10",PRESENT,Monsieur,Spautz,Marc,CSV,CSV
18,134,"30/01/2024 14:30:00","Séance publique n° 10",PRESENT,Madame,Tanson,Sam,,"déi gréng"
18,134,"30/01/2024 14:30:00","Séance publique n° 10",PRESENT,Monsieur,Wagner,David,,"déi Lénk"
18,134,"30/01/2024 14:30:00","Séance publique n° 10",PRESENT,Monsieur,Weidig,Tom,ADR,ADR
18,134,"30/01/2024 14:30:00","Séance publique n° 10",PRESENT,Monsieur,Weiler,Charles,CSV,CSV
18,134,"30/01/2024 14:30:00","Séance publique n° 10",PRESENT,Madame,Welfring,Joëlle,,"déi gréng"
18,134,"30/01/2024 14:30:00","Séance publique n° 10",PRESENT,Madame,Weydert,Stéphanie,CSV,CSV
18,134,"30/01/2024 14:30:00","Séance publique n° 10",PRESENT,Monsieur,Wiseler,Claude,CSV,CSV
18,134,"30/01/2024 14:30:00","Séance publique n° 10",PRESENT,Monsieur,Wolter,Michel,CSV,CSV
18,134,"30/01/2024 14:30:00","Séance publique n° 10",PRESENT,Monsieur,Zeimet,Laurent,CSV,CSV
18,134,"28/02/2024 14:00:00","Séance publique n° 13",PRESENT,Madame,Adehm,Diane,CSV,CSV
18,134,"28/02/2024 14:00:00","Séance publique n° 13",PRESENT,Madame,Agostino,Barbara,DP,DP
18,134,"28/02/2024 14:00:00","Séance publique n° 13",PRESENT,Monsieur,Arendt,Guy,DP,DP
18,134,"28/02/2024 14:00:00","Séance publique n° 13",PRESENT,Madame,"Arendt épouse Kemp",Nancy,CSV,CSV
18,134,"28/02/2024 14:00:00","Séance publique n° 13",PRESENT,Monsieur,Bauer,Maurice,CSV,CSV
18,134,"28/02/2024 14:00:00","Séance publique n° 13",PRESENT,Monsieur,Bauler,André,DP,DP
18,134,"28/02/2024 14:00:00","Séance publique n° 13",PRESENT,Monsieur,Baum,Gilles,,DP
18,134,"28/02/2024 14:00:00","Séance publique n° 13",PRESENT,Monsieur,Baum,Marc,,"déi Lénk"
18,134,"28/02/2024 14:00:00","Séance publique n° 13",PRESENT,Monsieur,Bausch,François,,"déi gréng"
18,134,"28/02/2024 14:00:00","Séance publique n° 13",PRESENT,Madame,Beissel,Simone,DP,DP
18,134,"28/02/2024 14:00:00","Séance publique n° 13",PRESENT,Monsieur,Biancalana,Dan,LSAP,LSAP
18,134,"28/02/2024 14:00:00","Séance publique n° 13",PRESENT,Madame,Bofferding,Taina,LSAP,LSAP
18,134,"28/02/2024 14:00:00","Séance publique n° 13",PRESENT,Monsieur,Boonen,Jeff,CSV,CSV
18,134,"28/02/2024 14:00:00","Séance publique n° 13",PRESENT,Madame,Braz,Liz,LSAP,LSAP
18,134,"28/02/2024 14:00:00","Séance publique n° 13",PRESENT,Madame,Cahen,Corinne,DP,DP
18,134,"28/02/2024 14:00:00","Séance publique n° 13",PRESENT,Monsieur,Clement,Sven,,Piraten
18,134,"28/02/2024 14:00:00","Séance publique n° 13",PRESENT,Madame,Closener,Francine,LSAP,LSAP
18,134,"28/02/2024 14:00:00","Séance publique n° 13",PRESENT,Monsieur,Cruchten,Yves,LSAP,LSAP
18,134,"28/02/2024 14:00:00","Séance publique n° 13",PRESENT,Madame,Delcourt,Claire,LSAP,LSAP
18,134,"28/02/2024 14:00:00","Séance publique n° 13",PRESENT,Monsieur,"Di Bartolomeo",Mars,LSAP,LSAP
18,134,"28/02/2024 14:00:00","Séance publique n° 13",PRESENT,Monsieur,Donnersbach,Alex,CSV,CSV
18,134,"28/02/2024 14:00:00","Séance publique n° 13",PRESENT,Monsieur,Eicher,Emile,CSV,CSV
18,134,"28/02/2024 14:00:00","Séance publique n° 13",PRESENT,Monsieur,Eischen,Félix,CSV,CSV
18,134,"28/02/2024 14:00:00","Séance publique n° 13",PRESENT,Monsieur,Emering,Luc,DP,DP
18,134,"28/02/2024 14:00:00","Séance publique n° 13",PRESENT,Monsieur,Engel,Georges,LSAP,LSAP
18,134,"28/02/2024 14:00:00","Séance publique n° 13",PRESENT,Monsieur,Engelen,Jeff,ADR,ADR
18,134,"28/02/2024 14:00:00","Séance publique n° 13",PRESENT,Monsieur,Etgen,Fernand,DP,DP
18,134,"28/02/2024 14:00:00","Séance publique n° 13",PRESENT,Monsieur,Fayot,Franz,LSAP,LSAP
18,134,"28/02/2024 14:00:00","Séance publique n° 13",PRESENT,Monsieur,Galles,Paul,CSV,CSV
18,134,"28/02/2024 14:00:00","Séance publique n° 13",PRESENT,Monsieur,Goergen,Marc,,Piraten
18,134,"28/02/2024 14:00:00","Séance publique n° 13",PRESENT,Monsieur,Goldschmidt,Patrick,DP,DP
18,134,"28/02/2024 14:00:00","Séance publique n° 13",PRESENT,Monsieur,Graas,Gusty,DP,DP
18,134,"28/02/2024 14:00:00","Séance publique n° 13",PRESENT,Monsieur,Haagen,Claude,LSAP,LSAP
18,134,"28/02/2024 14:00:00","Séance publique n° 13",PRESENT,Monsieur,Hansen,Christophe,,CSV
18,134,"28/02/2024 14:00:00","Séance publique n° 13",PRESENT,Madame,Hartmann,Carole,DP,DP
18,134,"28/02/2024 14:00:00","Séance publique n° 13",PRESENT,Monsieur,Hengel,Max,,
18,134,"28/02/2024 14:00:00","Séance publique n° 13",PRESENT,Monsieur,Kartheiser,Fernand,,ADR
18,134,"28/02/2024 14:00:00","Séance publique n° 13",PRESENT,Madame,Kemp,Françoise,CSV,CSV
18,134,"28/02/2024 14:00:00","Séance publique n° 13",PRESENT,Monsieur,Keup,Fred,ADR,ADR
18,134,"28/02/2024 14:00:00","Séance publique n° 13",PRESENT,Madame,Lenert,Paulette,LSAP,LSAP
18,134,"28/02/2024 14:00:00","Séance publique n° 13",PRESENT,Monsieur,Lies,Marc,CSV,CSV
18,134,"28/02/2024 14:00:00","Séance publique n° 13",PRESENT,Madame,Minella,Mandy,DP,DP
18,134,"28/02/2024 14:00:00","Séance publique n° 13",PRESENT,Madame,Modert,Octavie,CSV,CSV
18,134,"28/02/2024 14:00:00","Séance publique n° 13",PRESENT,Madame,Morgenthaler,Nathalie,CSV,CSV
18,134,"28/02/2024 14:00:00","Séance publique n° 13",PRESENT,Monsieur,Mosar,Laurent,CSV,CSV
18,134,"28/02/2024 14:00:00","Séance publique n° 13",PRESENT,Madame,Polfer,Lydie,DP,DP
18,134,"28/02/2024 14:00:00","Séance publique n° 13",PRESENT,Monsieur,Polidori,Ben,LSAP,LSAP
18,134,"28/02/2024 14:00:00","Séance publique n° 13",PRESENT,Monsieur,Schockmel,Gérard,DP,DP
18,134,"28/02/2024 14:00:00","Séance publique n° 13",PRESENT,Madame,Schoos,Alexandra,ADR,ADR
18,134,"28/02/2024 14:00:00","Séance publique n° 13",PRESENT,Monsieur,Sehovic,Meris,,"déi gréng"
18,134,"28/02/2024 14:00:00","Séance publique n° 13",PRESENT,Monsieur,Spautz,Marc,CSV,CSV
18,134,"28/02/2024 14:00:00","Séance publique n° 13",PRESENT,Madame,Tanson,Sam,,"déi gréng"
18,134,"28/02/2024 14:00:00","Séance publique n° 13",PRESENT,Monsieur,Wagner,David,,"déi Lénk"
18,134,"28/02/2024 14:00:00","Séance publique n° 13",PRESENT,Monsieur,Weidig,Tom,ADR,ADR
18,134,"28/02/2024 14:00:00","Séance publique n° 13",PRESENT,Monsieur,Weiler,Charles,CSV,CSV
18,134,"28/02/2024 14:00:00","Séance publique n° 13",PRESENT,Madame,Welfring,Joëlle,,"déi gréng"
18,134,"28/02/2024 14:00:00","Séance publique n° 13",PRESENT,Madame,Weydert,Stéphanie,CSV,CSV
18,134,"28/02/2024 14:00:00","Séance publique n° 13",PRESENT,Monsieur,Wiseler,Claude,CSV,CSV
18,134,"28/02/2024 14:00:00","Séance publique n° 13",PRESENT,Monsieur,Wolter,Michel,CSV,CSV
18,134,"28/02/2024 14:00:00","Séance publique n° 13",PRESENT,Monsieur,Zeimet,Laurent,CSV,CSV
18,134,"27/06/2024 14:00:00","Séance publique n° 34",PRESENT,Madame,Adehm,Diane,CSV,CSV
18,134,"27/06/2024 14:00:00","Séance publique n° 34",PRESENT,Madame,Agostino,Barbara,DP,DP
18,134,"27/06/2024 14:00:00","Séance publique n° 34",PRESENT,Monsieur,Arendt,Guy,DP,DP
18,134,"27/06/2024 14:00:00","Séance publique n° 34",PRESENT,Madame,"Arendt épouse Kemp",Nancy,CSV,CSV
18,134,"27/06/2024 14:00:00","Séance publique n° 34",PRESENT,Monsieur,Bauer,Maurice,CSV,CSV
18,134,"27/06/2024 14:00:00","Séance publique n° 34",PRESENT,Monsieur,Bauler,André,DP,DP
18,134,"27/06/2024 14:00:00","Séance publique n° 34",PRESENT,Monsieur,Baum,Gilles,,DP
18,134,"27/06/2024 14:00:00","Séance publique n° 34",PRESENT,Monsieur,Baum,Marc,,"déi Lénk"
18,134,"27/06/2024 14:00:00","Séance publique n° 34",PRESENT,Monsieur,Bausch,François,,"déi gréng"
18,134,"27/06/2024 14:00:00","Séance publique n° 34",PRESENT,Madame,Beissel,Simone,DP,DP
18,134,"27/06/2024 14:00:00","Séance publique n° 34",PRESENT,Monsieur,Biancalana,Dan,LSAP,LSAP
18,134,"27/06/2024 14:00:00","Séance publique n° 34",PRESENT,Madame,Bofferding,Taina,LSAP,LSAP
18,134,"27/06/2024 14:00:00","Séance publique n° 34",PRESENT,Monsieur,Boonen,Jeff,CSV,CSV
18,134,"27/06/2024 14:00:00","Séance publique n° 34",PRESENT,Madame,Braz,Liz,LSAP,LSAP
18,134,"27/06/2024 14:00:00","Séance publique n° 34",PRESENT,Madame,Cahen,Corinne,DP,DP
18,134,"27/06/2024 14:00:00","Séance publique n° 34",PRESENT,Monsieur,Clement,Sven,,Piraten
18,134,"27/06/2024 14:00:00","Séance publique n° 34",PRESENT,Madame,Closener,Francine,LSAP,LSAP
18,134,"27/06/2024 14:00:00","Séance publique n° 34",FOREIGN_MISSION,Monsieur,Cruchten,Yves,LSAP,LSAP
18,134,"27/06/2024 14:00:00","Séance publique n° 34",PRESENT,Madame,Delcourt,Claire,LSAP,LSAP
18,134,"27/06/2024 14:00:00","Séance publique n° 34",PRESENT,Monsieur,"Di Bartolomeo",Mars,LSAP,LSAP
18,134,"27/06/2024 14:00:00","Séance publique n° 34",PRESENT,Monsieur,Donnersbach,Alex,CSV,CSV
18,134,"27/06/2024 14:00:00","Séance publique n° 34",PRESENT,Monsieur,Eicher,Emile,CSV,CSV
18,134,"27/06/2024 14:00:00","Séance publique n° 34",PRESENT,Monsieur,Eischen,Félix,CSV,CSV
18,134,"27/06/2024 14:00:00","Séance publique n° 34",PRESENT,Monsieur,Emering,Luc,DP,DP
18,134,"27/06/2024 14:00:00","Séance publique n° 34",PRESENT,Monsieur,Engel,Georges,LSAP,LSAP
18,134,"27/06/2024 14:00:00","Séance publique n° 34",PRESENT,Monsieur,Engelen,Jeff,ADR,ADR
18,134,"27/06/2024 14:00:00","Séance publique n° 34",PRESENT,Monsieur,Etgen,Fernand,DP,DP
18,134,"27/06/2024 14:00:00","Séance publique n° 34",PRESENT,Monsieur,Fayot,Franz,LSAP,LSAP
18,134,"27/06/2024 14:00:00","Séance publique n° 34",PRESENT,Monsieur,Galles,Paul,CSV,CSV
18,134,"27/06/2024 14:00:00","Séance publique n° 34",PRESENT,Monsieur,Goergen,Marc,,Piraten
18,134,"27/06/2024 14:00:00","Séance publique n° 34",PRESENT,Monsieur,Goldschmidt,Patrick,DP,DP
18,134,"27/06/2024 14:00:00","Séance publique n° 34",PRESENT,Monsieur,Graas,Gusty,DP,DP
18,134,"27/06/2024 14:00:00","Séance publique n° 34",PRESENT,Monsieur,Haagen,Claude,LSAP,LSAP
18,134,"27/06/2024 14:00:00","Séance publique n° 34",EXCUSED,Monsieur,Hansen,Christophe,,CSV
18,134,"27/06/2024 14:00:00","Séance publique n° 34",PRESENT,Madame,Hartmann,Carole,DP,DP
18,134,"27/06/2024 14:00:00","Séance publique n° 34",PRESENT,Monsieur,Hengel,Max,,
18,134,"27/06/2024 14:00:00","Séance publique n° 34",EXCUSED,Monsieur,Kartheiser,Fernand,,ADR
18,134,"27/06/2024 14:00:00","Séance publique n° 34",PRESENT,Madame,Kemp,Françoise,CSV,CSV
18,134,"27/06/2024 14:00:00","Séance publique n° 34",PRESENT,Monsieur,Keup,Fred,ADR,ADR
18,134,"27/06/2024 14:00:00","Séance publique n° 34",PRESENT,Madame,Lenert,Paulette,LSAP,LSAP
18,134,"27/06/2024 14:00:00","Séance publique n° 34",PRESENT,Monsieur,Lies,Marc,CSV,CSV
18,134,"27/06/2024 14:00:00","Séance publique n° 34",PRESENT,Madame,Minella,Mandy,DP,DP
18,134,"27/06/2024 14:00:00","Séance publique n° 34",FOREIGN_MISSION,Madame,Modert,Octavie,CSV,CSV
18,134,"27/06/2024 14:00:00","Séance publique n° 34",PRESENT,Madame,Morgenthaler,Nathalie,CSV,CSV
18,134,"27/06/2024 14:00:00","Séance publique n° 34",PRESENT,Monsieur,Mosar,Laurent,CSV,CSV
18,134,"27/06/2024 14:00:00","Séance publique n° 34",PRESENT,Madame,Polfer,Lydie,DP,DP
18,134,"27/06/2024 14:00:00","Séance publique n° 34",PRESENT,Monsieur,Polidori,Ben,LSAP,LSAP
18,134,"27/06/2024 14:00:00","Séance publique n° 34",PRESENT,Monsieur,Schockmel,Gérard,DP,DP
18,134,"27/06/2024 14:00:00","Séance publique n° 34",PRESENT,Madame,Schoos,Alexandra,ADR,ADR
18,134,"27/06/2024 14:00:00","Séance publique n° 34",PRESENT,Monsieur,Sehovic,Meris,,"déi gréng"
18,134,"27/06/2024 14:00:00","Séance publique n° 34",PRESENT,Monsieur,Spautz,Marc,CSV,CSV
18,134,"27/06/2024 14:00:00","Séance publique n° 34",PRESENT,Madame,Tanson,Sam,,"déi gréng"
18,134,"27/06/2024 14:00:00","Séance publique n° 34",PRESENT,Monsieur,Wagner,David,,"déi Lénk"
18,134,"27/06/2024 14:00:00","Séance publique n° 34",PRESENT,Monsieur,Weidig,Tom,ADR,ADR
18,134,"27/06/2024 14:00:00","Séance publique n° 34",EXCUSED,Monsieur,Weiler,Charles,CSV,CSV
18,134,"27/06/2024 14:00:00","Séance publique n° 34",PRESENT,Madame,Welfring,Joëlle,,"déi gréng"
18,134,"27/06/2024 14:00:00","Séance publique n° 34",PRESENT,Madame,Weydert,Stéphanie,CSV,CSV
18,134,"27/06/2024 14:00:00","Séance publique n° 34",PRESENT,Monsieur,Wiseler,Claude,CSV,CSV
18,134,"27/06/2024 14:00:00","Séance publique n° 34",PRESENT,Monsieur,Wolter,Michel,CSV,CSV
18,134,"27/06/2024 14:00:00","Séance publique n° 34",PRESENT,Monsieur,Zeimet,Laurent,CSV,CSV
18,134,"27/02/2024 14:30:00","Séance publique n° 12",PRESENT,Madame,Adehm,Diane,CSV,CSV
18,134,"27/02/2024 14:30:00","Séance publique n° 12",PRESENT,Madame,Agostino,Barbara,DP,DP
18,134,"27/02/2024 14:30:00","Séance publique n° 12",PRESENT,Monsieur,Arendt,Guy,DP,DP
18,134,"27/02/2024 14:30:00","Séance publique n° 12",PRESENT,Madame,"Arendt épouse Kemp",Nancy,CSV,CSV
18,134,"27/02/2024 14:30:00","Séance publique n° 12",PRESENT,Monsieur,Bauer,Maurice,CSV,CSV
18,134,"27/02/2024 14:30:00","Séance publique n° 12",PRESENT,Monsieur,Bauler,André,DP,DP
18,134,"27/02/2024 14:30:00","Séance publique n° 12",PRESENT,Monsieur,Baum,Gilles,,DP
18,134,"27/02/2024 14:30:00","Séance publique n° 12",PRESENT,Monsieur,Baum,Marc,,"déi Lénk"
18,134,"27/02/2024 14:30:00","Séance publique n° 12",PRESENT,Monsieur,Bausch,François,,"déi gréng"
18,134,"27/02/2024 14:30:00","Séance publique n° 12",PRESENT,Madame,Beissel,Simone,DP,DP
18,134,"27/02/2024 14:30:00","Séance publique n° 12",PRESENT,Monsieur,Biancalana,Dan,LSAP,LSAP
18,134,"27/02/2024 14:30:00","Séance publique n° 12",PRESENT,Madame,Bofferding,Taina,LSAP,LSAP
18,134,"27/02/2024 14:30:00","Séance publique n° 12",PRESENT,Monsieur,Boonen,Jeff,CSV,CSV
18,134,"27/02/2024 14:30:00","Séance publique n° 12",PRESENT,Madame,Braz,Liz,LSAP,LSAP
18,134,"27/02/2024 14:30:00","Séance publique n° 12",PRESENT,Madame,Cahen,Corinne,DP,DP
18,134,"27/02/2024 14:30:00","Séance publique n° 12",PRESENT,Monsieur,Clement,Sven,,Piraten
