Dossier;Adresse;Nature;Relatif à;Etat;EUR;co_co;Dépôt;Recev?;RenvComm;1erAvisCE;DerAvisCE;1erRapp;DerRapp;RappCommPrev;RappComm;Comm1;CommLast;SeanPub1;Vote1;Vote2;DispVote;1erAmdtGvt;DerAmdtGvt;1erAmdtComm;DerAmdtComm;AvisCP;Publication;NbrAut;Auteurs;NbrComm;Comm;NbrPres;Pressentie;NbrRapp;Rapporteur;NbrAjPPGvt;AjAvisCHD;AjAvisCE;AjAmdtGvt;AjAmdtComm;NbrComm2;cmt_commission;cmt_commission_pressentie
7389;https://www.chd.lu/fr/dossier/7389;PL;".portant approbation ¯1° de l'Accord entre le Gouvernement du Grand-Duché de Luxembourg et le Gouvernement de la République de Bulgarie relatif à l'échange et à la protection réciproque d'informations classifiées fait à Sofia le 29 janvier 2018 ;¯2° de l'Accord entre le Gouvernement du Grand-Duché de Luxembourg et le Conseil des Ministres de la République d'Albanie relatif à la protection réciproque d'informations classifiées fait à Luxembourg le 25 juin 2018 ;¯3° de l'Accord entre le Gouvernement du Grand-Duché de Luxembourg et le Gouvernement de Hongrie relatif à l'échange et à la protection réciproque d'informations classifiées fait à Budapest le 5 septembre 2018 ;¯4° de l'Accord entre le Gouvernement du Grand-Duché de Luxembourg et le Gouvernement de la République de Macédoine relatif à l'échange et à la protection réciproque d'informations classifiées fait à Skopje le 6 septembre 2018 ;¯5° de l'Accord entre le Gouvernement du Grand-Duché de Luxembourg et le Gouvernement de la République fédérative du Brésil concernant l'échange et la protection réciproque d'informations classifiées fait à New York le 25 septembre 2018";PUB_JO;;X;04.12.18;;13.12.18;13.03.19;;;;06.06.19;06.06.19;06.05.19;06.06.19;10.10.19;10.10.19;;24.10.19;;;;;;28.10.19;1;J.Asselborn (Min. Affaires étrangères & européennes);1;AEECA;;;0;;;2;1;;;2;C. Affaires étrangères & européennes Coopération Immigration & Asile;
7390;https://www.chd.lu/fr/dossier/7390;PL;".portant approbation¯1° du Protocole fait à Luxembourg le 18 septembre 2017 modifiant la Convention entre le Grand-Duché de Luxembourg et la République d'Ouzbékistan tendant à éviter les doubles impositions et à prévenir la fraude fiscale en matière d'impôts sur le revenu et sur la fortune faite à Luxembourg le 2 juillet 1997 ;¯2° de l'Avenant fait à Bruxelles le 5 décembre 2017 à la Convention entre le Grand-Duché de Luxembourg et le Royaume de Belgique en vue d'éviter les doubles impositions et de régler certaines autres questions en matière d'impôts sur le revenu et sur la fortune et le Protocole final y relatif faits à Luxembourg le 17 septembre 1970 tels que modifiés par les Avenants du 11 décembre 2002 et du 16 juillet 2009 ;¯3° de la Convention between the Grand Duchy of Luxembourg and the Republic of Kosovo for the elimination of double taxation with respect to taxes on income and on capital and the prevention of tax evasion and avoidance et le Protocole y relatif faits à Luxembourg le 8 décembre 2017 ;¯4° de la Convention entre le Gouvernement du Grand-Duché de Luxembourg et le Gouvernement de la République française en vue d'éviter les doubles impositions et de prévenir l'évasion et la fraude fiscales en matière d'impôts sur le revenu et sur la fortune et le Protocole y relatif faits à Paris le 20 mars 2018";PUB_JO;;X;04.12.18;;13.12.18;27.03.19;;03.06.19;;18.06.19;18.06.19;03.06.19;18.06.19;02.07.19;02.07.19;;17.07.19;;;;;;12.07.19;1;J.Asselborn (Min. Affaires étrangères & européennes);1;FI;;;1;J.Elvinger;;3;1;;;2;C. Finances & Budget;
7391;https://www.chd.lu/fr/dossier/7391;PL;".portant modification¯1. de la loi du 28 juillet 2018 relative au revenu d'inclusion sociale ;¯2. de la loi modifiée du 12 septembre 2003 relative aux personnes handicapées";PUB_JO;;X;05.12.18;;06.12.18;12.12.18;;12.12.18;;13.12.18;13.12.18;12.12.18;13.12.18;18.12.18;18.12.18;;27.12.18;;;;;;21.12.18;1;C.Cahen (Min. Famille & Intégration);1;FAIN;;;1;G.Baum;;3;1;;;2;C. Famille & Intégration;
7392;https://www.chd.lu/fr/dossier/7392;PPL;.portant modification de la loi modifiée du 21 avril 1928 sur les associations et les fondations sans but lucratif;RETIRE;;X;18.12.18;29.01.19;29.01.19;07.02.23;;;;;;13.07.21;13.07.21;;;;;;;;;;;2;S.Clement|M.Goergen;2;JUST|J;;;0;;;2;1;;;1;C. Justice|C. Justice;
7393;https://www.chd.lu/fr/dossier/7393;PL;.portant modification de la loi du 14 septembre 2018 relative à une administration transparente et ouverte;PUB_JO;;X;19.12.18;;24.01.19;06.02.19;;06.05.19;;07.05.19;07.05.19;30.04.19;07.05.19;15.05.19;15.05.19;;23.05.19;;;;;;04.06.19;1;X.Bettel;1;DMCE;1;=;1;E.Berger;;3;1;;;2;C. Digitalisation Médias & Communications;C. Digitalisation Médias & Communications
7400;https://www.chd.lu/fr/dossier/7400;RAC;.de la Commission de contrôle parlementaire du Service de renseignement de l'État conformément à l'article 24 paragraphe 7 de la loi modifiée du 5 juillet 2016 portant réorganisation du Service de renseignement de l'État - 2018;.;;;08.01.19;;;;;;;;;28.07.20;28.07.20;;;;;;;;;;;1;CSRE;0;;;;0;;;;;;;1;;
7394;https://www.chd.lu/fr/dossier/7394;PL;.modifiant la loi modifiée du 8 avril 2018 sur les¯marchés publics et visant à transposer les articles 8 et 9 de¯la directive (UE) 2021/1187 du Parlement européen et du¯Conseil du 7 juillet 2021 concernant des mesures de¯rationalisation en vue de progresser dans la réalisation du¯réseau transeuropéen de transport (RTE-T);PUB_JO;OUI;X;08.01.19;;24.01.19;06.02.19;26.05.23;22.06.23;;06.07.23;07.07.23;22.06.23;06.07.23;13.07.23;13.07.23;;14.07.23;24.04.23;;;;;16.08.23;1;F.Bausch (Min. Mobilité & Travaux publics);1;MOBTP;1;=;1;C.Gary;;1;2;1;;2;C. Mobilité & Travaux publics;C. Mobilité & Travaux publics
7395;https://www.chd.lu/fr/dossier/7395;PL;.relative à la mise en oeuvre de mesures restrictives en matière financière;PUB_JO;;X;15.01.19;;24.01.19;17.11.20;04.12.20;07.10.20;;;14.12.20;05.10.20;11.12.20;17.12.20;17.12.20;;21.12.20;15.07.20;;27.11.20;;;23.12.20;1;P.Gramegna (Min. Finances);1;FI;1;=;1;A.Bauler;;5;2;1;1;2;C. Finances & Budget;C. Finances & Budget
7396;https://www.chd.lu/fr/dossier/7396;PL;.portant approbation du Protocole n° 16 à la Convention de sauvegarde des droits de l'homme et des libertés fondamentales fait à Strasbourg le 2 octobre 2013;PUB_JO;;X;21.01.19;;24.01.19;18.02.19;;05.02.20;;04.03.20;04.03.20;06.02.19;04.03.20;18.03.20;31.03.20;;03.04.20;;;;;;24.04.20;1;J.Asselborn (Min. Affaires étrangères & européennes);1;J;1;=;1;C.Margue;;;1;;;2;C. Justice;C. Justice
7397;https://www.chd.lu/fr/dossier/7397;DO;.sur le financement des grands projets d'infrastructure réalisés par l'État;.;;X;24.01.19;;;;;31.01.19;;;;31.01.19;07.02.19;12.02.19;;;;;;;;;;1;MOBTP;0;;;;1;C.Back;;;;;;2;;
7398;https://www.chd.lu/fr/dossier/7398;PL;.portant modification de la loi du 26 décembre 2012 sur les services postaux;PUB_JO;;X;29.01.19;;07.02.19;12.06.19;;27.06.19;;02.07.19;02.07.19;26.06.19;02.07.19;09.07.19;10.07.19;;17.07.19;;;;;;06.08.19;1;X.Bettel (Min. Communications & Médias);1;DMCE;1;=;1;G.Arendt;;3;1;;;2;C. Digitalisation Médias & Communications;C. Digitalisation Médias & Communications
7399;https://www.chd.lu/fr/dossier/7399;PL;.portant modification:¯1. des articles L. 232-2 et L. 233-4 du Code du travail¯2. de l'article 28-1 de la loi modifiée du 16 avril 1979 fixant le statut général des fonctionnaires de l'Etat;PUB_JO;;X;29.01.19;;07.02.19;13.03.19;;31.01.19;;;21.03.19;19.03.19;21.03.19;27.03.19;27.03.19;;10.04.19;;;;;;26.04.19;1;D.Kersch (Min. Travail Emploi & Economie sociale & solidaire);1;TESS;1;=;1;G.Engel;;3;1;;;2;C. Travail Emploi & Sécurité sociale;C. Travail Emploi & Sécurité sociale
7401;https://www.chd.lu/fr/dossier/7401;PL;".relative à des mesures à prendre en relation avec le secteur financier en cas de retrait du Royaume-Uni de Grande-Bretagne et d'Irlande du Nord de l'Union européenne et modifiant :¯1° la loi modifiée du 5 avril 1993 relative au secteur financier ;¯2° la loi modifiée du 10 novembre 2009 relative aux services de paiement ;¯3° la loi modifiée du 17 décembre 2010 concernant les organismes de placement collectif ; ¯4° la loi modifiée du 12 juillet 2013 relative aux gestionnaires de fonds d'investissement alternatifs ; ¯5° la loi modifiée du 7 décembre 2015 sur le secteur des assurances ; et ¯6° la loi modifiée du 18 décembre 2015 relative à la défaillance des établissements de crédit et de certaines entreprises d'investissement";PUB_JO;;X;31.01.19;;07.02.19;05.03.19;;15.03.19;;18.03.19;18.03.19;15.03.19;18.03.19;26.03.19;26.03.19;;10.04.19;;;;;;11.04.19;1;P.Gramegna (Min. Finances);1;FI;1;=;1;A.Bauler;;1;1;;;2;C. Finances & Budget;C. Finances & Budget
